u,v,rank,edge_betweenness
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,03cfcf239f16d4aaaf05a377bddf04378d5bcb0620317d508ae8d011b0be08d95e,9392,6.184871425208706e-05
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,036dfa466e991c038a98175697aa284b414d40e03ccf45a1a64932b3948907f7be,8464,7.164265879028788e-05
02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6,03817e6563dc36585b4510ff5fa50c0fe9a763ef14aa0bb8d10ead54c99c2da41d,18879,1.2060197630855186e-05
0223390bea8aa598442d056ace37c07e7364da1341b3681c371f6619b2879c0af2,031a1d89bae752c071fcdac24ecc00059a4fbb583ed15003d09aa94c8fd6242af3,18289,1.3948295566272957e-05
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,03acdab8d3e3c6b90e7e4dab5c81607cb819df9a358356593cfed5f42f1d5ed760,9263,6.305036325191286e-05
038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,3976,0.00016884326745679728
028c1f8d907879ee8691ddab3547e93c5ec2098cc0f38cc39c4ee989cb3a10ae71,03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,3737,0.00017949398004884443
022c203796a43cb7cf69ddb1738b9f91a3285595581f093a339657512112bec8bf,032d4baebebfdeab7a2ecef2fbe109cbef10de95f05aa54090fdb687789547dbf5,511,0.0007802148518041292
027e4538fde1d3c776970d5d5b325dddbd4097780a9e3433df2ee1f9f95cd60874,02f053943411c02650e41ffbb76884aed09af17877df250cf567b9021ccc5f3ddb,15927,2.18007565825264e-05
021e6d24ce6ab022428b8f047ff82d6029d779cd3eed2e96254444f13bdd7ea796,02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,6549,9.810494865326997e-05
