node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,40.5,24,0.041666666666666664,0.0,0.0
031678745383bd273b4c3dbefc8ffbf4847d85c2f62d3407c0c980430b3257c403,40.28,38,0.23684210526315788,28.73,436.36
03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda,37.1,35,0.02857142857142857,29.38,84.66
02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844,36.160000000000004,226,0.01327433628318584,0.0,0.0
026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,35.519999999999996,96,0.010416666666666666,59.51,84.24000000000001
03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,35.12,502,0.00796812749003984,28.32,191.92
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,34.980000000000004,33,0.2727272727272727,0.0,0.0
0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,32.86,31,0.06451612903225806,0.0,0.0
03205b045b0126c0d3fb826a38b9befc4babf51689544908c704d8e51fdec75ffb,32.5,5,0.8,0.0,0.0
02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520,31.8,30,0.03333333333333333,23.71,67.28
0219c2f8818bd2124dcc41827b726fd486c13cdfb6edf4e1458194663fb07891c7,28.62,27,0.0,0.0,0.0
02f45d28f3477a408d0d3e18a6cdedae9d58df18cf271ac84a0ce7d00699f38d19,26.0,4,0.0,144.26,577.04
0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,25.0,1,1.0,0.0,0.0
02690881543d633f3a16c8ff97397f3f2e8765a15f5ac057d701243e5adb7ba856,24.380000000000003,23,0.4782608695652174,28.44,329.62
03957c801187ade4aaeee6ca1e3f23eeb7413a84558ff1f3543cb41f5f86da609a,24.080000000000002,28,0.0,0.0,0.0
038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,22.48,10,0.0,149.82,430.15999999999997
022c699df736064b51a33017abfc4d577d133f7124ac117d3d9f9633b6297a3b6a,22.26,21,0.047619047619047616,29.44,99.74000000000001
0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9,22.26,21,0.3333333333333333,0.0,0.0
0348e881b4474d71c1f0825f54e3d99e487ece8a41f3fbf1c4de469833ab27206c,21.0,3,1.0,0.0,0.0
02d7644910e8a939e4eab67de96fe4fc7f88e52c9f8da79591c9e34db7266295fb,21.0,3,0.0,22.67,8.670000000000002
02a5c7b9a2be3ab3d8c1647f991bf5f0757651a0b92f4133dc31e52b3315881adf,21.0,3,0.0,0.0,0.0
03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6,20.939999999999998,20,0.2,0.0,0.0
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,20.160000000000004,36,0.0,0.0,0.0
0205823109f3d6e1ac5f3e5ab41ab88bf463ffa7b59a81d07d8b688fb737e11955,20.14,19,0.5263157894736842,0.0,0.0
029d50d59c78b81a39f4ca40b6bc9b89710542a31429b69aa075b91b587979205d,20.14,19,0.42105263157894735,6.0,57.519999999999996
03021c5f5f57322740e4ee6936452add19dc7ea7ccf90635f95119ab82a62ae268,19.080000000000002,18,0.2777777777777778,0.0,0.0
02309f3556d51e9d855594762dcf68cb283fbfd7e48618b6cecb8cd90e2e34d8ad,19.080000000000002,18,0.0,29.28,41.6
024a2e265cd66066b78a788ae615acdc84b5b0dec9efac36d7ac87513015eaf6ed,18.080000000000002,14,0.42857142857142855,27.84,331.96
0251b2c9d22f3621f27188d8236db84d9fd84d42adac063b2633744638b81f34ac,18.02,17,0.058823529411764705,29.38,73.3
02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,17.2,6,1.0,0.0,0.0
0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6,17.16,236,0.0,29.01,11.909999999999993
0234c548106512a0b93b2555d2638bc2fed3e6b091f75298383356258996230d92,16.96,14,0.7142857142857143,597.79,7171.36
03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42,16.96,16,0.1875,28.38,306.88
0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877,15.9,15,0.0,0.0,0.0
02c0b38022846c6b6f45b30031859ac7c5fb0c67ec8ed5cce8409c4b438c267ffe,15.9,15,0.06666666666666667,0.0,0.0
