u,v,rank,edge_betweenness
02c12b5459cf107ee0440cae41902f1189db50fa003a077f3a6fbe6b5760218695,038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,19516,9.92440071373626e-06
0369befa02d308e75375d9f509ca0daa5ee96ee542403edac56ddc47dc4f30b625,0395033b252c6f40e3756984162d68174e2bd8060a129c0d3462a9370471c6d28f,3766,0.00017831210870274794
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,1187,0.00039937177192967874
0214382bdce7750dfcb8126df8e2b12de38536902dc36abcebdaeefdeca1df8284,030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,14672,2.6805466752802344e-05
0205160cc03c56ff1d0d96e5591f178bfdddde3ce4d425097a63e04f7e31a88472,031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,17452,1.6459726377719603e-05
026b105ac13212c48714c6be9b11577a9ce10f10e1c88a45ce217e6331209faf8b,03ec351cf9535168d68e84d56f60dc744c9d7a99991db00814509f0d01ba4925f0,1454,0.0003515322296583304
02267328a85feb8952a86f8a2e14fce4f62f62f69638908c43b5656fd04994521f,02445ff6a24e69242d6f6f38e1b7e8ae9c01eb9b660f3daf3304cb4b7cfeb79a99,13982,3.0013393018025427e-05
028655dbf042c851ffe9d3c327af5d47a008cae43feb79a412bcfb238eff605dbc,031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,1452,0.0003515322296583304
0312ef6da659949fe1fac0ea69e265fd5ddf47b19a71708539ef6d6dc10c29a74a,0397b318c5e0d09b16e6229ec50744c8a7a8452b2d7c6d9855c826ff14b8fa8b27,20078,7.931918727594963e-06
037cfc1534e3993abfd291ae3effac9fe881a40a3ac14bbd6a972456bdb9a3399c,03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,10513,5.198038922762664e-05
