transaction_id,source,target,amount_SAT,success,path_length,routing_fee,route,failure_reason
3440,03e72a51954b76a4db2632d270802ed8fba41cbfbcf2fc7d236892ed07c2a5e992,032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,10000,True,2.0,0.01,03e72a51954b76a4db2632d270802ed8fba41cbfbcf2fc7d236892ed07c2a5e992|0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6|032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3,
3441,020c2f8e5e5d60fade226970125f2b19e070bce856b78dcabeab3a7a7e2ce2938f,0327336968abfe97fc18cb25906cd90dd94c04a7073820426f4731e5781c16b838,10000,False,,,,no_liquidity_feasible_path
3442,02e6df9231753bf114551a5549da8d72ce8861e65310776b0a7b549bca4e51c16d,02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,10000,True,3.0,10.109,02e6df9231753bf114551a5549da8d72ce8861e65310776b0a7b549bca4e51c16d|0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4|0388a2cd707ac944a2b0c8adbf67c4a313d24b6dc2ab2baba842f9a9eecf925131|02f6725f9c1c40333b67faea92fd211c183050f28df32cac3f9d69685fe9665432,
3443,026ec4e536bee7020288ee195b3647b89b9ffdabb46eaec109079bd9d7a661c6de,028a2f0ca33134cfd5f655ed942ddcd9feb4a879831416bb23858d1d60154b0936,10000,True,3.0,1.02,026ec4e536bee7020288ee195b3647b89b9ffdabb46eaec109079bd9d7a661c6de|02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|028a2f0ca33134cfd5f655ed942ddcd9feb4a879831416bb23858d1d60154b0936,
3444,03d49a7c6fa3b7412a6ae474a51c4dec199b401642a264c87cc949d3b30518b56f,026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,10000,True,2.0,0.399,03d49a7c6fa3b7412a6ae474a51c4dec199b401642a264c87cc949d3b30518b56f|02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8|026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5,
3445,036584167c33b85ab9f4b88fb4fb85ea7e16edd6a15bf6f0df18720231df950e2d,0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961,10000,False,,,,no_liquidity_feasible_path
3446,02a18a064a7a23095d2293e0fe652d91234a0b599610b45d035616556bd01721f9,032060a40a94dc7b848d02314e4ccebe20f451dc87f28c1ed685caa58bfcc3989a,10000,True,3.0,0.02,02a18a064a7a23095d2293e0fe652d91234a0b599610b45d035616556bd01721f9|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420|032060a40a94dc7b848d02314e4ccebe20f451dc87f28c1ed685caa58bfcc3989a,
3447,0320a504eda3dcc99df461ee7e4a15224ac0f6caf35a9d35f333371dc69e4316db,021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643,10000,False,,,,no_liquidity_feasible_path
3448,0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7,0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,10000,True,3.0,0.02,0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6|0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,
3449,02ffbbdaf2125d93940c9d1ca00e9296de1843f27449ea0b31806b92135a0b4369,031118c94f180709cb566f86396e345f7ad800a0be2d477b0c930a9677da91e46b,10000,True,3.0,0.02,02ffbbdaf2125d93940c9d1ca00e9296de1843f27449ea0b31806b92135a0b4369|03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba|02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b|031118c94f180709cb566f86396e345f7ad800a0be2d477b0c930a9677da91e46b,
