seed,selector,budget,total_transactions,successful_transactions,failed_transactions,success_ratio,average_successful_fee,average_successful_path_length,depletion_events,channels_jammed,jam_ratio,locked_capacity_sat,locked_capacity_percent,net_lost_successful_transactions,lost_successful_transactions,throughput_drop,throughput_drop_percent,CAF
20260606,hybrid,50,7061,4292,2769,0.6078459141764623,8.199827353215284,3.0386766076421248,2274,50,0.5,133307372.0,0.10686301491649762,29,29,0.0036740405362464257,0.36740405362464257,0.58
20260606,hybrid,50,7061,4292,2769,0.6078459141764623,8.204661463187325,3.0384436160298227,2303,50,0.6,159968844.0,0.12823561597588826,29,29,0.0036740405362464257,0.36740405362464257,0.58
20260606,hybrid,50,7061,4293,2768,0.6079875371760374,8.208695667365479,3.056603773584906,2350,50,0.7,186630324.0,0.14960822344830849,28,28,0.0035324175366713284,0.35324175366713284,0.56
20260606,hybrid,50,7060,4235,2825,0.5998583569405099,8.684352184179456,3.0646989374262104,2239,50,0.8,213291904.0,0.17098091108359842,86,86,0.011661597772198773,1.1661597772198773,1.72
20260606,hybrid,50,7069,4278,2791,0.605177535719338,10.078147148200093,3.0411407199625993,2324,50,0.9,239953372.0,0.1923535089364743,43,43,0.006342418993370735,0.6342418993370735,0.86
20260606,hybrid,50,7073,4293,2780,0.6069560299731372,9.104391917074308,3.0910784998835314,2169,50,1.0,266614732.0,0.21372602021345086,28,28,0.004563924739571457,0.45639247395714566,0.56
