node,fee,num_trans
0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf,15025.0,25
03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,4077.0,27
0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4,1980.0,33
032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,1586.0,52
0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0,1281.0,42
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,1098.0,36
03a503d8e30f2ff407096d235b5db63b4fcf3f89a653acb6f43d3fc492a7674019,984.0,16
03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618,854.0,28
024d2387409269f3b79e2708bb39b895c9f4b6a8322153af54eba487d4993bf60f,823.5,27
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,721.0,103
03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12,671.0,22
03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,610.0,20
02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b,518.5,17
03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251,427.0,14
039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1,427.0,14
031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,396.5,13
0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019,396.5,13
022c260f9ad58196af280c80a96ec9eabf6404df59ff1a7553b0f381c875a29ba0,366.0,12
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,362.52000000000004,342
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,336.0,48
030995c0c0217d763c2274aa6ed69a0bb85fa2f7d118f93631550f3b6219a577f5,244.0,8
02523f947272e18da0b01d70535ce2b3002a92bdfbcab4cbe123151081f395d6c5,231.0,7
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,213.5,7
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,213.5,7
03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,190.46,62
03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,187.0,7
02efe789fcf1d791e9dfc9494b81a9aea7aa0c2a8744c66165d16dc47ce6b88b91,183.0,3
02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490,183.0,6
02da0713ab1b12eeb01f212944a435077f39f1b767ee5c24b01cdb4b0b9377b66b,183.0,3
0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782,183.0,6
030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f,161.12,152
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,154.76000000000002,146
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,131.44,124
028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675,126.0,18
