trial,total_transactions,successful_transactions,failed_transactions,success_ratio,average_successful_fee,average_successful_path_length,depletion_events,channels_jammed,jam_ratio,locked_capacity_sat,lost_successful_transactions,throughput_drop,throughput_drop_percent,CAF
1,7051,4292,2759,0.6087079846830237,8.952397600186393,3.010484622553588,2143,10,0.8,82384452.0,0,-0.0010897462236637567,-0.10897462236637567,0.0
2,7052,4306,2746,0.6106069200226886,9.35866535067348,3.0013934045517883,2107,10,0.8,35379038.0,0,-0.0029886815633286545,-0.29886815633286545,0.0
3,7051,4312,2739,0.6115444617784711,9.178192254174396,2.979359925788497,2074,10,0.8,28716488.0,0,-0.003926223319111188,-0.39262233191111884,0.0
4,7061,4304,2757,0.6095453901713638,9.039014172862453,3.00046468401487,2087,10,0.8,39294850.0,0,-0.0019271517120038606,-0.19271517120038606,0.0
5,7054,4292,2762,0.608449106889708,8.544626980428704,3.0016309412861135,2049,10,0.8,34450124.0,0,-0.0008308684303480751,-0.08308684303480751,0.0
