total_transactions,successful_transactions,failed_transactions,success_ratio,average_successful_fee,average_successful_path_length,depletion_events,channels_jammed,jam_ratio,locked_capacity_sat,lost_successful_transactions,throughput_drop,throughput_drop_percent,CAF
7062,4291,2771,0.6076182384593599,8.858730831973899,3.0079235609415056,2166,10,0.5,39624798.0,0,0.0,0.0,0.0
7062,4291,2771,0.6076182384593599,8.858815194593333,3.009088790491727,2166,10,0.6,47549756.0,0,0.0,0.0,0.0
7062,4291,2771,0.6076182384593599,8.858815194593333,3.009088790491727,2166,10,0.7,55474716.0,0,0.0,0.0,0.0
7062,4291,2771,0.6076182384593599,8.859945467257049,3.0170123514332325,2162,10,0.8,63399690.0,0,0.0,0.0,0.0
7064,4285,2779,0.6065968289920725,8.324506534422403,3.0338389731621938,2124,10,0.9,71324648.0,6,0.0010214094672874596,0.10214094672874596,0.6
7054,4295,2759,0.6088743975049618,8.92333329452852,3.023981373690338,2095,10,1.0,79249590.0,0,-0.0012561590456018346,-0.12561590456018346,0.0
