strategy,channels_jammed,jam_ratio,mean_success_ratio,mean_throughput_drop_percent,mean_CAF,trials
edge_betweenness,10,0.8,0.6076182384593599,0.0,0.0,1
random,10,0.8,0.609770772709051,-0.2152534249691107,0.0,5
