budget,total_transactions,successful_transactions,failed_transactions,success_ratio,average_successful_fee,average_successful_path_length,depletion_events,channels_jammed,jam_ratio,locked_capacity_sat,lost_successful_transactions,throughput_drop,throughput_drop_percent,CAF
5,7062,4291,2771,0.6076182384593599,8.859888604054998,3.0144488464227455,2147,5,0.8,41003120.0,0,0.0,0.0,0.0
10,7062,4291,2771,0.6076182384593599,8.859945467257049,3.0170123514332325,2162,10,0.8,63399690.0,0,0.0,0.0,0.0
20,7069,4281,2788,0.6056019238930542,8.895458070544265,3.039476757766877,2123,20,0.8,129217616.0,10,0.002016314566305688,0.2016314566305688,0.5
50,7091,4318,2773,0.6089409110139613,9.035959935155162,2.9884205650764244,2088,50,0.8,160287958.0,0,-0.0013226725546013895,-0.13226725546013895,0.0
