metric,value
total_transactions,6998.0
successful_transactions,4663.0
failed_transactions,2335.0
success_rate_pct,66.63332380680194
failure_rate_pct,33.36667619319805
average_path_length,2.7949817713918077
average_routing_fee,1.2488106369290155
total_depletion_events,666.0
nodes_with_depletion_events,202.0
initial_active_directed_edges,32984.0
final_active_directed_edges,32805.0
runtime_seconds,8.742449299999862
