u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,749522,0.00010824797376294042,0.003343362357879652,26,0.0193098000587567,0.12026368992429741,0.15028901734104047,0.13527635363266893
02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,3000000,0.0004299554520663058,0.005612971435029038,8,0.07669754476656165,0.2019035282326911,0.046242774566473986,0.12407315139958254
02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2000000,0.00015796194370122087,0.002418871175383067,27,0.02817801981626951,0.08700892750003299,0.15606936416184972,0.12153914583094136
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,02de367d7c2610a3f2d5b831ffdf6b5fe07b5b47a539b68b2976b5a807777d1456,10000000,0.00012839844067910375,0.0052823707059267665,9,0.022904338355554985,0.1900115287071842,0.05202312138728324,0.12101732504723373
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e,5322800,0.0009945665289201122,0.004031231586096114,16,0.17741561482376658,0.14500695216020854,0.09248554913294797,0.11874625064657826
02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96,0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,2000000,0.00011902839484431656,0.0022131387336967586,27,0.021232864005306492,0.07960855029711976,0.15606936416184972,0.11783895722948473
02ba3ea3146bce6cb5093c1e6dee21a33faf1fb38f2bc1dc805038ebf9f2ecbeab,02de367d7c2610a3f2d5b831ffdf6b5fe07b5b47a539b68b2976b5a807777d1456,500000,1.6434008530979359e-06,0.005169875424688564,8,0.0002931578373855496,0.1859649743189372,0.046242774566473986,0.11610387444270559
020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,100000,2.8539861326162844e-05,0.004501210676408863,12,0.005091079276178753,0.16191251414784827,0.06936416184971098,0.11563833799877962
0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2,037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420,300000,2.7338831705606456e-05,0.003801812004530012,16,0.00487683377086909,0.1367545276645503,0.09248554913294797,0.11462003839874912
028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,900000,0.0014557953314684197,0.0048316787298100985,9,0.2596918519573314,0.1737997412114853,0.05202312138728324,0.11291143129938427
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0,300000,0.0018074326427307945,0.005595894311636097,4,0.3224186258417575,0.20128924905721152,0.023121387283236993,0.11220531817022425
