transaction_id,original_cost,length,path
1347,0.121,3,"[np.str_('037db7ce71ef503ed0e45aacbd346f3b1af40122d1d0eeb52d574711bb9a5bcf5f'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
1348,1.241,5,"[np.str_('023110bb9db32c7c933d1ad18a331e763a587fac40560b0b88f3256cb5e19b3163'), '0391489a933ab83094d1af43b3df3e8c8d467474649361912f05211d0e68a28fc9', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '03952f8756c036669440e06c782c7f21732886ccf04052e0e6e792f8f5a490f6aa', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276_trg']"
1349,0.12,3,"[np.str_('028328d02efc71d11d9f3db10e3be0689a8d7742fb2e8c0dd2754ef2815601bdaa'), '03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
1350,1.12,3,"[np.str_('02db6ff6cf968f403aa4ecf7741b7dacc50256ae79a4999edada24da40fdf2667d'), '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '02731b798b39a09f9f14e90ee601afb6ebb796d6e5797de14582a978770b33700f', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
1351,1.06,2,"[np.str_('03914b8d180e7528fc47b9265db24336348b7165f6ad7fa351d26df6e360902365'), '03021c5f5f57322740e4ee6936452add19dc7ea7ccf90635f95119ab82a62ae268', '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
1352,0.06,2,"[np.str_('02c921ef88d90e8760b31227ccc82dd8d4bb8082d636935abcde0cde4827f1ebb9'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '026cd1a69fee4c9eab263c0b66e27ffbd1385f52ef9d3ce357c885c52d458270c7_trg']"
1353,,-1,[]
1354,,-1,[]
1355,31.547,3,"[np.str_('0217383b5f11169456f10d32b4474f2806de64cbd60b42512cc42c1f769f41ac8d'), '032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf', '03a5927b64b1ea8657d5b770d61a3e2d0554fdb5d568773e0d6a92907913ca21f6', '03f2d334ab70d50623c889400941dc80874f38498e7d09029af0f701d7089aa516_trg']"
1356,1.1800000000000002,4,"[np.str_('035716176a55c5093c22d4199c811754313539a7149932cb07eb88a2419cb74ef2'), '02235e7e27a75a9626f4d6cee16ae1d75e6173227b1c7ac7993e036ef1f695a73d', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
1357,,-1,[]
1358,0.371,3,"[np.str_('02e6a169b0826dfea51ee8bb81f629ec7445b267ef36354f2dd5012e1e8b69088c'), '0200072fd301cb4a680f26d87c28b705ccd6a1d5b00f1b5efd7fe5f998f1bbb1f1', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d_trg']"
1359,0.06,2,"[np.str_('03952f8756c036669440e06c782c7f21732886ccf04052e0e6e792f8f5a490f6aa'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '036a33e92cda2679ac91ac0467acb1ba33396c0df1119521653e0f269c275dd6bf_trg']"
1360,1.12,3,"[np.str_('02875ac2c27835990ef62e5755c34264b2c39f51a41525adc5e52a7f94b3a19f8b'), '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '035a002c71bc9ffb0026ee505323f143055bf1dedd4ec878e5a1b68c792f363eba_trg']"
1361,1.12,3,"[np.str_('0299120e3491a2f0b0f80f407eba0914477468bc121bb3641ada57895a7727da80'), '0219c2f8818bd2124dcc41827b726fd486c13cdfb6edf4e1458194663fb07891c7', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
1362,,-1,[]
1363,1.06,2,"[np.str_('038a508c73c189c3a06816043f8554cb940832ef160e6db304eea58bc9f784a086'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
1364,2.3600000000000003,7,"[np.str_('0365fd3a5c8d66ce56bb181e6f652652348a7fc841cf53f738926ea3e726b197f9'), '038b36a43c38f75cd15bb25394f1cd162f717df005585229182e62620db9d3f3ea', '026d9b9c8e55b435f117496e6a885fba7bf76530a5aa6f8f61304f84f9a31dda09', '02da8d5a759ee9e4438da617cfdb61c87f723fb76c4b6371b877d0347abe953a4f', '02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '03720411ee569f80c179280c73779e4c2b2a184aa18cf3c49b6eac0e5d802c9a87_trg']"
1365,,-1,[]
1366,0.06,2,"[np.str_('02c91d6aa51aa940608b497b6beebcb1aec05be3c47704b682b3889424679ca490'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520_trg']"
1367,,-1,[]
1368,,-1,[]
1369,,-1,[]
1370,,-1,[]
1371,631.5,3,"[np.str_('03c59df9f9a4e543394843e44105fcdff9f64fd68437ee49be1b162c340e4055e1'), '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf', '03d37fca0656558de4fd86bbe490a38d84a46228e7ec1361801f54f9437a18d618', '023bc00c30acc34a5c9cbf78f84aa775cb63f578a69a6f8ec9a7600753d4f9067c_trg']"
1372,30.5,2,"[np.str_('025537b1ae30299f02714199843650b58adf2ff59a013e40e56bb1330fefbe99df'), '032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf', '03c4bb19c3a388d790968328b0f0d187a1a28597d3ad082200a47baadfdb6aee8d_trg']"
1373,0.06,2,"[np.str_('029a06f84c9bfddcf4dca173a4d1a540e6ce7f75cc7d1dde9fd5a70d80c504da07'), '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda_trg']"
1374,2.18,4,"[np.str_('035647243fc3ffdbf972133a216c9222e76aff5ed12c5f51ba1da93b8d6699113d'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877', '0358b6d4e10b3a232b7b6f4acee3aab99b5f7f4e9a9e69bcecc875ea1e1a147681_trg']"
1375,3.24,5,"[np.str_('03be2ba115ae6a9454da76ee0c60d35d0576b6aef1ef8eaebcf2bcfa0edb903fbf'), '0354fcd9f1554f3505238e1b3c29223868953730c30b6565ad482dc31e90bcfa93', '02c1129d1788b698324cf22ac52928a031abc23389ce62c0c45a2a9457f0e401e0', '02dce7cacb2827e75b31ea694045c3736a234d629483cfc43eb7d9088c89e0c803', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02dbd9298c0e87143276440838c4c3b6adfd183fd19c9181cf38a550c6ad216b51_trg']"
1376,0.06,2,"[np.str_('03780bc0d405f8e9695a4474a03ed3314d761cfa3baf3ea8351c025d66399f969d'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520_trg']"
1377,,-1,[]
1378,1.06,2,"[np.str_('0330f0afe893e809d8790b26b40d9353f586ef0894d4ae704d06be24538c030457'), '0303238e8f3e25a49da6c909452e320130f3f45e474df08dde7ca9a25f008b2b87', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
1379,3.72,4,"[np.str_('0265e5791c617b6e1dfe04137e71c0c959201592bd7fe3f1bb085c35595b72646c'), np.str_('035736692722a47389d6be965d73a50b1ba63233a1b975aa55db7f90446f5708cb'), '0242290d02d2cd0d0edd3754541eda6c4b71e58df2c8fc88513c3d8190e8120a4b', '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
1380,1.5420000000000003,10,"[np.str_('02527dc14bac8d8c959e9ac208813b6df5bc278da5d6f1cdf74f6bdd23aab1ea71'), '023b7dba0075975778c820a56a157de5eed67e988e6c7edd723af73ad20e4463ed', '02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff', '0269b91661812bae52280a68eec2b89d38bf26b33966441ad70aa365e120a125ff', '02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0', '03345d99a94e2fc8a69698f8bbec6bea5a4e8dbaf8b313085bb9710f6014765e45', '02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420', '0325d3075b0ee0a3630d623d0fcc6ca5cdc0bdcdaf6e6e813e1be02b4e5e246ce2', '0215f33968047401f191b2c3203ece6d5781ca7f2c018e7795d5e5ddc05c8b4ebd_trg']"
1381,,-1,[]
1382,,-1,[]
1383,,-1,[]
1384,,-1,[]
1385,0.121,3,"[np.str_('03ca34dbe37880a32eae749f09cb9fee074d32f17db5df13bb12af1bf0c27b5f51'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
1386,151.06,3,"[np.str_('02b7db5c2597a3d7dac8ece0df0d8dd2a7727d53d84583555be3402ccd17776392'), '03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '02b3877314aff657216ceac039244fe94e7116af10cfffac0232fefa5903c62a58_trg']"
1387,1.12,3,"[np.str_('037dcd2a20f1d48d68b1d148dbb6fc8d2af35c352dab31eb63365938a86878fb4d'), '03f02d965aea25de84613ad2be36573d2bd8c6d6dd47d9a516d233098c281d3ae7', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79_trg']"
1388,30.5,2,"[np.str_('020465d7c75f6cbe5fd2ebf042b4f12cf07cd69704e53b46d3fb16a3555f545bb3'), '03fb822818be083e0a954db85257a2911a3d55458b8c1ea4124b157e865a836d12', '0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877_trg']"
1389,7.0,2,"[np.str_('028d67e0b5f3248496892f2a03d3df0d8c05ea81fb9a7d0c7e9f5774650bb2c216'), '028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675', '038df0bd2fad1bfe42d177f18ea5e33543e2b855ef369d06bd94b81d2c87187c82_trg']"
1390,1.12,3,"[np.str_('037ea54ce83a1622b1373ddc0da33b9fbc89ccd468bc6235ae83e16ac936b45e23'), '03b2312fa65b43b9ebc6d824af6ac0ad2cee7a490fd3a79af25f7a77bdd6f25c42', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
1391,602.06,3,"[np.str_('037dcd2a20f1d48d68b1d148dbb6fc8d2af35c352dab31eb63365938a86878fb4d'), '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf', '03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e', '02d11946b6307dbb9cddc03f74edd24df437fd4a4822e100174dce18dc6dfc05b3_trg']"
1392,,-1,[]
1393,0.0,1,"[np.str_('03a8355790b89f4d96963019eb9413b9a2c884691837ac976bacfe25a5212892d7'), '02308c54b63e2c1375a52ce6ca27b171188f99e7c274eaf14be396289d93fb6003_trg']"
1394,,-1,[]
1395,,-1,[]
1396,1.2200000000000002,4,"[np.str_('02cc0690ceeccf834d695d31526a067cc4324062e6c19697248d111a50fb6e5967'), '03fab7f8655169ea77d9691d4bd359e97782cb6177a6f76383994ed9c262af97a5', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '034955913a44e335be62b4e9ee33be036f72d150302163d2cd02ae6546ce9ce899', '03f929098f02467c33f79976f6a6939db1db785814b814821302304fa8692cf3f4_trg']"
1397,1.06,2,"[np.str_('0235591b82c3856e6ccfc10b70b7ccdce45c30994500c848fe1c81d8f6c3db604a'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0374ecf61ed6c1208c42339f47decde2bc0c4393ac95f07827b3471e939d7eb961_trg']"
1398,,-1,[]
1399,1.06,2,"[np.str_('0361ce04fbf96019e87864b269af8c66395730f7c93bdc23f34a5b68102d8f516c'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '0238107198ba9e0e5fd5a0c67eac88e3633072885397c5925205891f8985e52078_trg']"
1400,,-1,[]
1401,,-1,[]
1402,1.1800000000000002,4,"[np.str_('0376a33371c17cd4fab6c1202f8031b4c899a53cc89739dd411d5b924afcd6cc7f'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8_trg']"
1403,1.06,2,"[np.str_('02862de4eeb24594052ca26c0188133f89d172edad1bc5b59e740af3764c89aaf3'), '036d293ee276b354e153da13c60b7df632119c380d163eda73fdba944d2f9cd847', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
1404,,-1,[]
1405,,-1,[]
1406,0.12,3,"[np.str_('031be0f6a76ec0425f4981be6e34717f9c3dfa402ac2ce949d114cbe54207463fa'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '03a76b80027d7c067e0da77da95880faaf89e9bf87b73a7d57bd4a3f2a124b764f', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
1407,1.12,3,"[np.str_('0312ef6da659949fe1fac0ea69e265fd5ddf47b19a71708539ef6d6dc10c29a74a'), '02f3069a342ae2883a6f29e275f06f28a56a6ea2e2d96f5888a3266444dcf542b6', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520_trg']"
1408,,-1,[]
1409,1.12,3,"[np.str_('020de4c7b3fcca7eac8fe5ac0fb9c87400db5a931baec35251fe7c55f0d0f91773'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '025cb2d324ae423d32984c7fc74edd7185b9fc9bd473d389f12483e3738d526600', '02ca2df9248933f4cdb220b78f097e2259df071765af6489ba13df23a95d7bb9c1_trg']"
1410,0.06,2,"[np.str_('03a5886df676f3b3216a4520156157b8d653e262b520281d8d325c24fd8b456b9c'), '037eb17d0fee2d20bacea3d78940b40f4ac61a5a7040a23b6e8280c80d7ebfb420', '032060a40a94dc7b848d02314e4ccebe20f451dc87f28c1ed685caa58bfcc3989a_trg']"
1411,30.5,2,"[np.str_('037e074ea4621b7ab5e83404577bc8e5b720d181be95cd0b2d77d473e5482854e1'), '0390b5d4492dc2f5318e5233ab2cebf6d48914881a33ef6a9c6bcdbb433ad986d0', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
1412,0.121,3,"[np.str_('03890c9a4fbf518057f43bc0753f60ecf3101b970aaa406d555f170e0e29257317'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
1413,,-1,[]
1414,1.12,3,"[np.str_('0346eb9c0beba3002b5725bd814cf779933113164193d1e37dc2c93bb59df2ed10'), '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '0260fab633066ed7b1d9b9b8a0fac87e1579d1709e874d28a0d171a1f5c43bb877_trg']"
1415,0.06,2,"[np.str_('02e588464f41b295e8c20fd1e1362437f40375cae6a8155cf20a9a9e2ec9b3b2e4'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
1416,0.06,2,"[np.str_('02bebaf15c038fa52a59eb5870cd3b6cb3af6b38b91c316243805df8a2dbd20d3c'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
1417,,-1,[]
1418,,-1,[]
1419,1.28,4,"[np.str_('03caab5c409f779e64f3a28e8662db2ed10d23d9e31c58865670ea50a8d55b71c8'), '03a17e8ec9570e1b71d1c719aeeafa88b0604068863dc88028b490b96c2898dda8', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02e9046555a9665145b0dbd7f135744598418df7d61d3660659641886ef1274844', '027a0eaffb8e103f9059d2d40b7c2d8993affc169168ca1808f752ee36ccf196ee_trg']"
1420,,-1,[]
1421,30.5,2,"[np.str_('028736991912f0118418fe18714a5ee5f55532fdffdc241ba7c2fac631adac886a'), '03bc9337c7a28bb784d67742ebedd30a93bacdf7e4ca16436ef3798000242b2251', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
1422,7.0,2,"[np.str_('02d662ddf6e5db93b0f6bb2de8d3bb7cac0872bb9ef41740e3113e72c59315aa0a'), '03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f', '0238107198ba9e0e5fd5a0c67eac88e3633072885397c5925205891f8985e52078_trg']"
1423,,-1,[]
1424,1.12,3,"[np.str_('03d2d3c94999a2c43f67107aebec4e693a3fc9ac6133c28254cf34c0436f291bd9'), '03abf6f44c355dec0d5aa155bdbdd6e0c8fefe318eff402de65c6eb2e1be55dc3e', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
1425,,-1,[]
1426,,-1,[]
1427,1.12,3,"[np.str_('03a32888c5db46e13d1aa07cb03036f130415477a9ffb09d58c1cd54f777fbbdd9'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
1428,,-1,[]
1429,30.5,2,"[np.str_('038ff6ec3fb52c23f1ea2f341bd7f9dd899766380750e4ce8c76bf12e11e1bf9a1'), '039edc94987c8f3adc28dab455efc00dea876089a120f573bd0b03c40d9d3fb1e1', '023bc00c30acc34a5c9cbf78f84aa775cb63f578a69a6f8ec9a7600753d4f9067c_trg']"
1430,7.0,2,"[np.str_('028ff6295ce052b94ed0aaa4fec006030480f92ee04f92e1133939df3832dc2cf5'), '03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f', '03b6cad4d044d42e9d9537650dd4a84806733dd00013f862bc8342fb40e28474bd_trg']"
1431,30.5,2,"[np.str_('03e8d533afa31ea292c0bd4b40eeb7987baf69bd70479ba298188c6f9eabfcabff'), '032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf', '033d485a2aa57e0b868da2e5c32471c3256f9114734b78abfa6ae55cbdacbd5c3d_trg']"
1432,2.18,4,"[np.str_('035467fbac7f7755bb90363bac31772aa70f2045b95b6f28e7f8d893ad6e08644b'), '027c3abc90a51617fb9cf5162c2fedfd9832c620ef82b54e413e9ce0f892dabb0d', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02740c62f38896511eb98479036b06907fcac283f62d08b756a1e25fb55e3f6772', '032e04b67641c00444af1d83145c0b63bac8316a6afb8fec0f87938295ed8bb129_trg']"
1433,30.5,2,"[np.str_('03be8dbb87bd9f23d44c6448a72c2b0ee36c6405d9b39f1ed7ca423b04cc4d2157'), '02247d9db0dfafea745ef8c9e161eb322f73ac3f8858d8730b6fd97254747ce76b', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815_trg']"
1434,0.0,1,"[np.str_('0271edb6a351758e5073d133e7ce7c8fcac73b47731a8d8fbcd1c1a1842641b468'), '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
1435,0.181,4,"[np.str_('037fa3a69a4d93910c804dd9d05e45a57c139141d1e628d5512f3f31af7d697aa6'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '023216c5b9a54b6179645c76b279ae267f3c6b2379b9f305d57c75065006a8e5bd', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8_trg']"
1436,,-1,[]
1437,60.0,2,"[np.str_('02c8d0eef6feed8479662070608b76f5bb3527a891e9f0688e246c6483c4ace943'), '0279c22ed7a068d10dc1a38ae66d2d6461e269226c60258c021b1ddcdfe4b00bc4', '021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643_trg']"
1438,0.06,2,"[np.str_('029eda74de66b675354054af719ba9e8f3f8954f88e2a8bcd0be8d7d191e9a11c1'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5_trg']"
1439,2.3489999999999998,2,"[np.str_('02c4fec754506ea170712588600bf23f11fa123aa6b0eaf1e3617c1e6a6cd02848'), '02529db69fd2ebd3126fb66fafa234fc3544477a23d509fe93ed229bb0e92e4fb8', '02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c_trg']"
1440,1.12,3,"[np.str_('0269d54e14f70d148233e8379b3bea7096bc62988e7b26c018ae4e3219114d86ae'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda_trg']"
1441,1.12,3,"[np.str_('020b95133888176c1def9d03b5426aa13d6c5c7f3406c946441ce2eaab23c40834'), '02f08380da84f77ed03fb9310f99c69c50f951cc82a7f2b8a36dbba27b915568fa', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266_trg']"
1442,,-1,[]
1443,0.06,2,"[np.str_('037e5a7682975299b35c754aff42872a304885b5dc9e62c93a869fc271ee5998d9'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
1444,30.56,3,"[np.str_('030b525fb57ab0d24c4952dfa5d0166f57dd39d873b6eba2715c1496a27f23dd4d'), '0311cad0edf4ac67298805cf4407d94358ca60cd44f2e360856f3b1c088bcd4782', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '03a17e8ec9570e1b71d1c719aeeafa88b0604068863dc88028b490b96c2898dda8_trg']"
1445,,-1,[]
1446,,-1,[]
1447,,-1,[]
1448,1.1800000000000002,4,"[np.str_('03e26ff2a9df7795cfdd0693a605fe162e93d8f3c9a5da61fec661ec8dab1f360c'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '03d24a4d2c8841890779f3c788cd269d467ad8ff8fcfdc21c8ceead42c7dd7f04b', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815_trg']"
1449,,-1,[]
1450,1.06,2,"[np.str_('034cb9003d54764f3f5a99f1863cf075b43bb4aca1f392eece36c10240ec316e10'), '03c2abfa93eacec04721c019644584424aab2ba4dff3ac9bdab4e9c97007491dda', '02ec3e575a0641fc419b783f48c4ec3a330c80ddd18b6c4ec0c653a0fb704df6ed_trg']"
1451,2.18,4,"[np.str_('036d293ee276b354e153da13c60b7df632119c380d163eda73fdba944d2f9cd847'), '02862de4eeb24594052ca26c0188133f89d172edad1bc5b59e740af3764c89aaf3', '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '020e56a13babec99abdc2c4afbe34e1e44230d79b234c059fd4ff1e367765fdb1b', '039f01ad62e5208940faff11d0bbc997582eafad7642aaf53de6a5f6551ab73400_trg']"
1452,0.8099999999999999,4,"[np.str_('028a2f0ca33134cfd5f655ed942ddcd9feb4a879831416bb23858d1d60154b0936'), '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '036b343eb46c5db996d3d1e2c6cc9742cbfa7e3b4146d4b4b0aef694b6d12960c8', '0266a062b1643f466d64f78419f590c3b353f5f3cd33a56874a9741160b01b523f_trg']"
