transaction_id,original_cost,length,path
20,1.7400000000000002,5,"[np.str_('02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350'), '020b939e5146cf4ead29e64e9dfe765277ad9c623d80160a2aca204f3ccd550567', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '0317d6b11e81729192aab651174991a32e566786a7abb45b88898ed27e218a15e6', '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03dd047b5d1d6398983a8639823bc7b895ace8798af4fdc698f8c818a177cd3692_trg']"
21,1.115,3,"[np.str_('0251a08c8f96c02bac929be2fd91b6ae714b1b90fa29a11833d6f226ac9e5071ef'), '03012a23c769decc4fb40a92d5300692b576cb8dc887072580638b97911742554c', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
22,,-1,[]
22,,-1,[]
23,,-1,[]
24,7.0,2,"[np.str_('026d9c78088e1cdf96c5478aeadb1d83e981f6a9ea03113fa4182bed3d91c697ed'), '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde', '0232e20e7b68b9b673fb25f48322b151a93186bffe4550045040673797ceca43cf_trg']"
25,0.06,2,"[np.str_('03f38829a9b9131e3a0887ca21fd042f2d07bd7f151fffefcc3d1585f24c1b3e7e'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2_trg']"
26,0.06,2,"[np.str_('03f78684b49e125d73c1801b3529f7d663f08ae7e1dd5db416fe69d9cb47b1c50f'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5_trg']"
27,2.72,4,"[np.str_('02d6a799a64b6686feed233971706a75bcf842ddefdb2c0c0043959a1ec5255904'), '02df5ffe895c778e10f7742a6c5b8a0cefbe9465df58b92fadeb883752c8107c8f', '02e2670a2c2661a9eea13b7cfdcdd7f552f591b9ee60e5678b7abe77b7f9516f96', '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '033d485a2aa57e0b868da2e5c32471c3256f9114734b78abfa6ae55cbdacbd5c3d_trg']"
28,1.1800000000000002,4,"[np.str_('02da65c851216c09066b2ece048af560dcf5524fc96bf6e22fc5d872c42740fa4c'), '021bbb8db00487ea8cc040533224f6bca1dae0b2aaf5489797eee16ebd2b6ad00b', '02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5_trg']"
29,0.06,2,"[np.str_('031ac677972619e8e0a1b40593e01b04280dc4a18a7a9b5cb7c6e8e2673e31f644'), '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde_trg']"
30,,-1,[]
31,,-1,[]
32,,-1,[]
33,,-1,[]
34,1.12,3,"[np.str_('0349e1165104b5606b94fa8e11499106f8e66526b497dcad6cc22d64987b0808e0'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '030c3f19d742ca294a55c00376b3b355c3c90d61c6b6b39554dbc7ac19b141c14f', '02f302189b8c0028aa919e5441a5d7e80c82ebdff421219e34408acea58274a823_trg']"
35,,-1,[]
36,1.06,2,"[np.str_('026ec4e536bee7020288ee195b3647b89b9ffdabb46eaec109079bd9d7a661c6de'), '02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520', '02f3067188240c75beb36477db63771f66c976f7e5bdd6f6ace5508396aba24815_trg']"
37,7.06,3,"[np.str_('028736991912f0118418fe18714a5ee5f55532fdffdc241ba7c2fac631adac886a'), '03377f891367579d0cdfc2833bc323a1d01514eea40d48cce86d31e398223e0cb3', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
38,,-1,[]
39,0.12,3,"[np.str_('03b95f2370e01edb922ec243f9741701a6a3d112b3df8f62c7a08d9f5cd71ebfcb'), '02c16cca44562b590dd279c942200bdccfd4f990c3a69fad620c10ef2f8228eaff', '03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
40,,-1,[]
41,0.06,2,"[np.str_('021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f'), '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '03ffbf7ef99f52555d40b3eee011dc6042541fa5f49629cbfb64f8c1730726b101_trg']"
42,1.12,3,"[np.str_('039a0bb71ac1d883de0fc96e4d90fe442e4c6621529f9661428402154bf03fa286'), '02a15d043069892b1f93bdf4bf0160447afd61f7f23548bf1c56d92fd9744281e6', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c_trg']"
43,,-1,[]
44,1.12,3,"[np.str_('0392600bfeb472a7757cd911bf64929c5d73b01e39d425f9ee6c86f8b5969f4a34'), '03f456e8c3479654da4498b64c1aa80656a33561d52f3444f5930f5c4a410a6fb6', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '0346c84a15d0ac1d724f64cbaf3726fbaa33e6c95d15abd513c1767b9945884fd6_trg']"
45,1.12,3,"[np.str_('02dd464d8c802ce9bcc07952b3390981bb4b704b863e6ae87434ae056b697f3659'), '0267586e510d80fab314fbfa091f383b775646e7a87bc9ed8cd59bcded50405d6a', '03295d2e292565743a40bd44da227a820f8730877bc3dfadebade8785bcf355258', '0320f42d91c643b5a541758e4ecf4ad1d7f25b04ae149755adee8cd79fa9fbdfe3_trg']"
46,3.18,4,"[np.str_('03b30a362a02bff3bd17798be65215f46dab2132e75b2bea6b5b72e7bd7350d433'), '026ba4fea7ba82e578ce294bd168daa25f7950db0409c15145036f25c905ccfd9a', '027ce055380348d7812d2ae7745701c9f93e70c1adeb2657f053f91df4f2843c71', '0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266', '02222dd443181165571d236af531295e61212737507aa1cb9a05c82646ff3170ed_trg']"
47,,-1,[]
48,3.18,4,"[np.str_('032a65fc24a44ba4334fe69ef9bbc07e299e5be956e4332347649312bebd51a82e'), '02cb2677db78e50a6d178092bf8c9b1f0e7d4b9a2bed918bc3f276c89c1649ba5b', '02964c50e89786896df7e5d10d7bb6995b0bbdaf891ff24fbcc52b75aae544e514', '02f9f2ef60e438960698992ba8ab9b6f09cf2a5077f261e5cd7ee5cdc154fffcb2', '0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3_trg']"
49,1.06,2,"[np.str_('02b646d30ed97b4e1a247f74805bd2bb5b5059151aa6842c3d8a02fda13be236a6'), '03deedbfee762a68a44d2587560507e513ac185908728aaf053ad4a3c096d8acb0', '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
50,,-1,[]
51,,-1,[]
52,,-1,[]
53,9.72,5,"[np.str_('030753e01dabdd341a4a22991bd7fee2038784e5fca256424daf8e6018169a5de4'), '0206b61ab11081093c863f91e7be3f7d7f52e4c122f8ea5d5171f5078a476c323f', '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '028dcc199be86786818c8c32bffe9db8855c5fca98951eec99d1fa335d841605c2', '03b9eb68af140dee9fe5804ee26fd3ff15c144f6a151554d93316c29a77c20d33b_trg']"
54,0.0,1,"[np.str_('021607cfce19a4c5e7e6e738663dfafbbbac262e4ff76c2c9b30dbeefc35c00643'), '031f8400b123834edd5736de9aac14ec0d77c11bff27f5a6eb0da5f6ce66ef0975_trg']"
55,1.06,2,"[np.str_('03024474515312c81f1ca1753cd813b265a6eed9a29234a5f20fc5b12b0ead45eb'), '021d9deaf090a021c6e464e3becc5296161e8aaf5de3c7a1d517838cd74525834f', '032cc4541b25e86e39a7d450a979c1a9adbe2878df3a93fcb59c96c700bfe26aa3_trg']"
56,,-1,[]
57,1.12,3,"[np.str_('02881a55acfe466dc3698abe31f412260edeff067cafac8d5c26213a7207f19930'), '02f9c7deb297e32fc3d3d55f336176055cd667a2fada0bd5663e7413e1aba55b86', '02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b', '031118c94f180709cb566f86396e345f7ad800a0be2d477b0c930a9677da91e46b_trg']"
58,,-1,[]
59,1.12,3,"[np.str_('02dca93a2c161cde48b1d06e66b994fab01430477336f95f57bd0da25686a2b4a7'), '02725e5abcbf5550fc29e6b19706a1377f25d2b1502684f9be9965b6deac167520', '03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d', '02d0f53a403a0b16efdec1983a082ab7645e35858f6a855871e489c9992748a059_trg']"
60,0.0,1,"[np.str_('02a54deb8d0f11d47c6f55cec5e673063c9fad2619559e8d87ae3eb4c381668449'), '02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469_trg']"
61,,-1,[]
62,,-1,[]
63,,-1,[]
64,26.182,5,"[np.str_('03d27806a058fbc2095b42379e71ddc97f0b698435c49b35d970cae5e0ed4841ea'), '02b2bf1b75301372ed16ea7658af0d49152e37760c8951e25414dab316fa669417', '03b38f5fb693ae96fda9533c7ba45840c0afc4390544223a18dd676d858bfd5b15', '03f18da23535adee245903c81750745197e3079d3b88b3898981c90a5f2411008c', '02c88a0df5e9ea7df582647f79b70b8e441047de308fd6b24408b8bd775f2234bd', '028303182c9885da93b3b25c9621d22cf34475e63c123942e402ab530c0556e675_trg']"
65,0.0,1,"[np.str_('03e81a5b8af31bc00a1c1c08419d3272b4982db02feafd739904df2edfcbdf6f7e'), '0215f33968047401f191b2c3203ece6d5781ca7f2c018e7795d5e5ddc05c8b4ebd_trg']"
66,1.06,2,"[np.str_('031a62ba399b56de86bb2f049d628a682a06ddf759e63743e2b2123c2144b48ddb'), '0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c', '026bce917a5854f3c5140cc69c977d19a6d656554120b6dedf045b246941b858c5_trg']"
