pair_rank,node_a,node_b,pair_edge_betweenness,directions_present,aggregated_capacity,top_k,remove_pct
1,0380353680be52e164e49d0e986cb4601993aae7bb15d71ecced966fa1a0f08f52,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,0.0052040816326530655,2,225000,5,90.0
2,023a527903368146b49d4291db6a829b27f32c2ee22b0f5872c7873a287db1978d,03c492f46d8e0a6256bb9c5c42f2aed24717f70a3f39e0961419dee511688e3110,0.005204081632653065,2,375000,5,90.0
3,0214b87e06039a44b5a23580f0e2f801b913fe9e3dc29169419f5eed15e449e9d3,03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,0.005204081632653063,2,1999000,5,90.0
4,02b7db5c2597a3d7dac8ece0df0d8dd2a7727d53d84583555be3402ccd17776392,03e50492eab4107a773141bb419e107bda3de3d55652e6e1a41225f06a0bbf2d56,0.005204081632653063,2,1232000,5,90.0
5,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,03c043906b71a4dea9146b1fe2d2c87b3e595dd9437a355efc15fb3a40b0dc2e02,0.005204081632653063,2,130933,5,90.0
