u,v,rank,edge_betweenness
0251b2c9d22f3621f27188d8236db84d9fd84d42adac063b2633744638b81f34ac,03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,9844,5.7678755721743226e-05
028a2f0ca33134cfd5f655ed942ddcd9feb4a879831416bb23858d1d60154b0936,034955913a44e335be62b4e9ee33be036f72d150302163d2cd02ae6546ce9ce899,14660,2.684200866954067e-05
028a8e53d70bc0eb7b5660943582f10b7fd6c727a78ad819ba8d45d6a638432c49,02c9cb215be13811725c1398ed6f0995eaad5844fc3cd9695e630c81a744c8740d,17241,1.7099798519372576e-05
02911515d46e371eacb87dbd5f513b03ab23031d17c3668293a8cca5369072dbea,02ec3e575a0641fc419b783f48c4ec3a330c80ddd18b6c4ec0c653a0fb704df6ed,13974,3.0054493822873453e-05
0288074e112a3c33a7aa305df5544d9fc0fc92eeff8721bb21f81771b806b8042e,03e5ea100e6b1ef3959f79627cb575606b19071235c48b3e7f9808ebcd6d12e87d,7658,8.208639218325569e-05
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,02a6d015281695f01144dd0d33190b5d5a2458a9565907dee36aedc0347f1e0b29,5528,0.00011857122874426318
022f3bfa1de8491bad95ea018b17d47efbfe713cd2da59ad5fc380198612b8954a,03024ff9b2cb3967a17fbc4d69a4ec9c1be5448d77bb58d7eb379faebe410c8db3,19299,1.0726396617056707e-05
02c69a0b4cb468660348d6d457d9212563ad08fb94d424395da6796fb74a13f276,032e42afae47fafc446608e34d42c4483179014a49aa409110108cb00617395910,16243,2.0465254679198566e-05
0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266,02e7c42ae2952d7a71398e23535b53ffc60deb269acbc7c10307e6b797b91b1e79,3133,0.00021482106754468154
026ac9fcd64fb1aa1c491fc490634dc33da41d4a17b554e0adf1b32fee88ee9f28,038ddc73e450a4bfb52992b35be8b0f52e1a1b4726ff319249a3314a508b616cde,15413,2.3734312042378292e-05
