u,v,channel_capacity_sat,unweighted_betweenness,fee_weighted_betweenness,baseline_usage,unweighted_betweenness_norm,fee_weighted_betweenness_norm,baseline_usage_norm,hybrid_score
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,035830c16ebd9791379d05ee2e17053bb599d760cd5e2d2692c6bc96a3d8c50680,2500000,3.2363884155029845e-05,3.0200075500188752e-06,0,0.005773227067760077,0.00010863233257039044,0.0,5.431616628519522e-05
035736692722a47389d6be965d73a50b1ba63233a1b975aa55db7f90446f5708cb,03d2a44997a0fb6deee0a31c389d9d6bcb6f929f1dd0ba67201d195f2b3c76087c,3900000,1.7755697288427673e-05,0.000229596073990185,0,0.003167347642868558,0.008258773083663934,0.0,0.004129386541831967
028b2c9ed9427b31db21ed75eac119b040cf3e9bdbfaa378cde8561cf1274b4228,0349fbcae322df983b6c74f65aadd1910544d2a8154a1a43a630b5a289aa3edad8,250000,2.9008728677443957e-05,3.548508871272178e-05,0,0.00517471811478782,0.0012764299077020877,0.0,0.0006382149538510438
026400d315418e167b29fccdc965010ea1f8f8c8ddbc4a790d77491d8478a4b661,032679fec1213e5b0a23e066c019d7b991b95c6e4d28806b9ebd1362f9e32775cf,16777215,2.361245902201161e-05,1.2583364791745313e-06,0,0.00421210528715438,4.526347190432935e-05,0.0,2.2631735952164676e-05
03c402afec79d52f0a6b6eb7e63bc416e6d34824adda023fd6777c00f44dc5408d,03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,662973,0.00011949875293001781,0.0,0,0.021316768768372095,0.0,0.0,0.0
028a2f0ca33134cfd5f655ed942ddcd9feb4a879831416bb23858d1d60154b0936,02a45def9ae014fdd2603dd7033d157faa3a55a72b06a63ae22ef46d9fafdc6e8d,300000,9.658980438417693e-06,0.0,0,0.0017230159101707086,0.0,0.0,0.0
022755c3ff4e5a1d71f573cda4b315887fc00a9e5c9ea9a847d939f3e517e69a70,03ed88bb37c8c53c509d9a355e5a103614ebd30c98b7895ea4ccaddee262db190d,9000000,1.8667316166929306e-05,0.0,0,0.003329966652368033,0.0,0.0,0.0
0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3,02c5371591b640da03f9a645e2ddfa5620d8537388b03ddd524d36766c0f550db0,3000000,2.6981170532440123e-05,0.00019881716370957596,14,0.004813032431199241,0.007151628560884037,0.08092485549132948,0.04403824202610676
03409e4b674f6e88ed5938bef39e40d598523c2ed75bb0708495ddacbdbe1c9174,03bb88ccc444534da7b5b64b4f7b15e1eccb18e102db0e400d4b9cfe93763aa26d,2100300,0.00010438040719741622,0.0002453756134390336,2,0.01861988472364146,0.008826377021344223,0.011560693641618497,0.01019353533148136
023bc00c30acc34a5c9cbf78f84aa775cb63f578a69a6f8ec9a7600753d4f9067c,031ce29116eab7edd66148f5169f1fb658fad62bdc5091221ab895fe5d36db00b2,9000000,1.7964104021260084e-05,1.6918718210530846e-05,0,0.0032045242495245463,0.0006085812014938905,0.0,0.0003042906007469453
