experiment_type,experiment_id,top_k,remove_pct,selected_channel_pairs,changed_raw_rows,removed_capacity_sat,total_transactions,successful_transactions,failed_transactions,success_rate_pct,failure_rate_pct,average_path_length,average_routing_fee,total_depletion_events,nodes_with_depletion_events,initial_active_directed_edges,final_active_directed_edges,runtime_seconds,successful_transactions_change_pct,failed_transactions_change_pct,success_rate_pct_change_pct,failure_rate_pct_change_pct,average_path_length_change_pct,average_routing_fee_change_pct,total_depletion_events_change_pct,nodes_with_depletion_events_change_pct
baseline,baseline,,,0,0,0.0,6998.0,4666.0,2332.0,66.67619319805658,33.32380680194341,2.795113587655379,1.2489714959279896,665.0,201.0,32985.0,32806.0,8.302794900000663,,,,,,,,
ebc_attack,ebc_top5_remove50,5.0,50.0,5,12,3961934.0,6998.0,4664.0,2334.0,66.64761360388682,33.352386396113175,2.795025728987993,1.248864279588336,666.0,202.0,32984.0,32805.0,8.352350499999375,-0.042863266180882986,0.08576329331046312,-0.04286326618087243,0.08576329331046333,-0.0031432950622930474,-0.008584370420234614,0.15037593984962405,0.4975124378109453
ebc_attack,ebc_top10_remove50,10.0,50.0,10,22,5531934.0,6998.0,4662.0,2336.0,66.61903400971707,33.38096599028294,2.7945087945087943,1.2483163878163879,664.0,201.0,32982.0,32804.0,8.805555100001584,-0.08572653236176597,0.17152658662092624,-0.08572653236174486,0.17152658662092665,-0.02163751588686673,-0.05245180644535013,-0.15037593984962405,0.0
ebc_attack,ebc_top20_remove50,20.0,50.0,20,44,12542314.0,6998.0,4659.0,2339.0,66.57616461846241,33.42383538153758,2.7945911139729556,1.2479094226228804,662.0,200.0,32980.0,32802.0,8.414838699998654,-0.15002143163309045,0.30017152658662094,-0.15002143163308548,0.30017152658661095,-0.018692395354920323,-0.08503583216845863,-0.45112781954887216,-0.4975124378109453
ebc_attack,ebc_top30_remove50,30.0,50.0,30,64,14985138.0,6998.0,4655.0,2343.0,66.51900543012289,33.480994569877105,2.79312567132116,1.2480549946294306,657.0,197.0,32975.0,32799.0,8.566081800001484,-0.2357479639948564,0.4716981132075472,-0.23574796399485165,0.47169811320753763,-0.07112112877984589,-0.07338048158401418,-1.2030075187969924,-1.9900497512437811
ebc_attack,ebc_top40_remove50,40.0,50.0,40,84,21411366.0,6998.0,4655.0,2343.0,66.51900543012289,33.480994569877105,2.79312567132116,1.24807432867884,658.0,198.0,32973.0,32796.0,8.80484030000116,-0.2357479639948564,0.4716981132075472,-0.23574796399485165,0.47169811320753763,-0.07112112877984589,-0.0718324839337481,-1.0526315789473684,-1.492537313432836
ebc_attack,ebc_top50_remove50,50.0,50.0,50,104,33011352.0,6998.0,4655.0,2343.0,66.51900543012289,33.480994569877105,2.7937701396348014,1.2480796992481202,658.0,197.0,32971.0,32794.0,8.758131999999023,-0.2357479639948564,0.4716981132075472,-0.23574796399485165,0.47169811320753763,-0.04806416549621386,-0.07140248458646974,-1.0526315789473684,-1.9900497512437811
ebc_attack,ebc_top100_remove50,100.0,50.0,100,218,155892864.0,6998.0,4655.0,2343.0,66.51900543012289,33.480994569877105,2.797207303974221,1.2503624060150376,657.0,198.0,32964.0,32781.0,8.64566609999929,-0.2357479639948564,0.4716981132075472,-0.23574796399485165,0.47169811320753763,0.07490630534976539,0.11136443798619255,-1.2030075187969924,-1.492537313432836
ebc_attack,ebc_top200_remove50,200.0,50.0,200,454,546039922.0,6998.0,4654.0,2344.0,66.50471563303802,33.49528436696199,2.8008165019338205,1.2546403094112593,665.0,200.0,32956.0,32774.0,8.642920300000696,-0.2571795970852979,0.5145797598627787,-0.2571795970852772,0.5145797598627799,0.20403157508976372,0.45387853139576223,0.0,-0.4975124378109453
ebc_attack,ebc_top5_remove60,5.0,60.0,5,12,4754320.0,6998.0,4663.0,2335.0,66.63332380680194,33.36667619319805,2.7949817713918077,1.2488106369290155,666.0,202.0,32984.0,32805.0,8.742449299999862,-0.06429489927132448,0.12864493996569468,-0.0642948992713193,0.12864493996568432,-0.004715953732745294,-0.012879317061963281,0.15037593984962405,0.4975124378109453
ebc_attack,ebc_top10_remove60,10.0,60.0,10,22,6638320.0,6998.0,4674.0,2324.0,66.79051157473563,33.20948842526436,2.7796320068463842,1.2836125017829125,622.0,210.0,32989.0,32804.0,8.64961140000014,0.17145306472353194,-0.34305317324185247,0.17145306472353236,-0.3430531732418533,-0.5538802028428965,2.773562564707255,-6.466165413533835,4.477611940298507
ebc_attack,ebc_top20_remove60,20.0,60.0,20,44,15050776.0,6998.0,4669.0,2329.0,66.71906258931124,33.28093741068877,2.7793960162775755,1.2833208038837725,622.0,209.0,32988.0,32802.0,8.711532200000875,0.06429489927132448,-0.12864493996569468,0.06429489927134062,-0.12864493996568432,-0.5623231716671688,2.7502075161660273,-6.466165413533835,3.9800995024875623
ebc_attack,ebc_top30_remove60,30.0,60.0,30,64,17982166.0,6998.0,4656.0,2342.0,66.53329522720777,33.46670477279223,2.817225085910653,1.336920890607102,672.0,211.0,32982.0,32760.0,9.010491799999727,-0.2143163309044149,0.4288164665523156,-0.21431633090440477,0.4288164665523166,0.7910769119698442,7.041745545503076,1.0526315789473684,4.975124378109452
ebc_attack,ebc_top40_remove60,40.0,60.0,40,84,25693642.0,6998.0,4667.0,2331.0,66.69048299514147,33.309517004858535,2.808013713306192,1.3190796014570387,672.0,202.0,32962.0,32767.0,8.939205499998934,0.021431633090441493,-0.04288164665523156,0.02143163309044687,-0.042881646655221,0.46152420094075647,5.613267056744044,1.0526315789473684,0.4975124378109453
