path_length,successful_transactions,share_of_successful_routes_pct
1.0,224,4.8182404818240485
2.0,1751,37.664013766401375
3.0,1707,36.717573671757364
4.0,687,14.777371477737148
5.0,199,4.280490428049043
6.0,56,1.2045601204560121
7.0,23,0.494730049473005
8.0,2,0.04302000430200043
