path_length,successful_transactions,share_of_successful_routes_pct
1.0,224,4.8006858122588945
2.0,1767,37.86969567081012
3.0,1757,37.6553793399057
4.0,661,14.166309472781826
5.0,187,4.007715387912559
6.0,56,1.2001714530647236
7.0,14,0.3000428632661809
